Gene	sample	counts
MYLKP1	GSM1022678	1.0118055576926337
MYLKP1	GSM1022679	1.087332963645819
MYLKP1	GSM1022680	1.024035163259057
MYLKP1	GSM1022681	1.0254177019347264
MYLKP1	GSM1022682	9.095852404310344
MYLKP1	GSM1022683	1.0155104435348865
MYLKP1	GSM1022684	2.090219159144348
MYLKP1	GSM1022685	1.0299388126007114
MYLKP1	GSM1022686	2.1025943121872612
MYLKP1	GSM1022687	1.0872700680245635
MYLKP1	GSM1022688	1.0474332992759388
MYLKP1	GSM1022689	1.022581557181457
MYLKP1	GSM1022690	1.0879580718683934
MYLKP1	GSM1022691	1.0760262278806771
MYLKP1	GSM1022692	1.0172824963691265
MYLKP1	GSM1022693	1.0096136609284547
MYLKP1	GSM1022694	1.0444790802811736
MYLKP1	GSM1022695	1.0228445664573578
MYLKP1	GSM1385778	1.0030314290996496
MYLKP1	GSM1385779	1.077256250738088
MYLKP1	GSM1385780	1.0665550545786855
MYLKP1	GSM1385781	1.0118859036434402
MYLKP1	GSM1385782	1.0069631126805123
MYLKP1	GSM1385783	1.06319017904285
MYLKP1	GSM1415906	1.001514567592329
MYLKP1	GSM1415907	1.0075958118807733
MYLKP1	GSM1415908	1.015183039205113
MYLKP1	GSM1415909	1.0075958118807733
MYLKP1	GSM1415910	1.008488226377649
MYLKP1	GSM1415911	1.0045505879962513
MYLKP1	GSM1415912	1.134200941661956
MYLKP1	GSM1415913	1.1473079818540426
MYLKP1	GSM1415914	1.094225603357875
MYLKP1	GSM1415915	1.0757363896737755
MYLKP1	GSM1415916	1.0760262278806771
MYLKP1	GSM1415917	1.0953867172131926
MYLKP1	GSM1415918	1.10242986176477
MYLKP1	GSM1415919	1.102372776327608
MYLKP1	GSM1415920	1.0823407984756992
MYLKP1	GSM1415921	1.0549402171424924
MYLKP1	GSM2769390	1.0754464105331571
MYLKP1	GSM2769391	1.0585243543160967
MYLKP1	GSM2769392	1.0476453445591134
MYLKP1	GSM2769393	1.0359543069535193
MYLKP1	GSM2769394	1.0203663161311838
MYLKP1	GSM2769395	1.059075372841705
MYLKP1	GSM2769396	1.0181834902363824
MYLKP1	GSM2769397	1.045256860312832
MYLKP1	GSM2769398	1.0492468388860623
MYLKP1	GSM3103946	1.0091218838436145
MYLKP1	GSM3103947	0.9176050525718804
MYLKP1	GSM3103948	2.1486367343776624
MYLKP1	GSM3103949	0.8612333344324411
MYLKP1	GSM3103950	0.668346625598033
MYLKP1	GSM3103951	1
MYLKP1	GSM3103952	1.0030314290996496
MYLKP1	GSM3103953	1.0091218838436145
MYLKP1	GSM3103954	1.0030314290996496
MYLKP1	GSM3103955	0.5319473942602421
MYLKP1	GSM3103956	1.026970766354677
MYLKP1	GSM3103957	1.0161485132291883
