Feature	sample	counts
Brevundimonas_vitisensis	GSM1022678	1.2093176104345296
Brevundimonas_vitisensis	GSM1022679	1.199499154626049
Brevundimonas_vitisensis	GSM1022680	1.215830924890681
Brevundimonas_vitisensis	GSM1022681	1.2129842784797524
Brevundimonas_vitisensis	GSM1022682	1.2143834997994574
Brevundimonas_vitisensis	GSM1022683	1.2190472872044584
Brevundimonas_vitisensis	GSM1022684	1.2035619478871264
Brevundimonas_vitisensis	GSM1022685	1.218752787256299
Brevundimonas_vitisensis	GSM1022686	1.2121802920874214
Brevundimonas_vitisensis	GSM1022687	1.2135683052506967
Brevundimonas_vitisensis	GSM1022688	1.2056807444806514
Brevundimonas_vitisensis	GSM1022689	1.218341579360669
Brevundimonas_vitisensis	GSM1022690	1.2110703950254058
Brevundimonas_vitisensis	GSM1022691	1.2191939181960778
Brevundimonas_vitisensis	GSM1022692	1.217934026949798
Brevundimonas_vitisensis	GSM1022693	1.1991267197021511
Brevundimonas_vitisensis	GSM1022694	1.2063176587884112
Brevundimonas_vitisensis	GSM1022695	1.2191812829242796
Brevundimonas_vitisensis	GSM1385778	1.2165345867763722
Brevundimonas_vitisensis	GSM1385779	1.2195835105326498
Brevundimonas_vitisensis	GSM1385780	1.2195835105326498
Brevundimonas_vitisensis	GSM1385781	1.2165345867763722
Brevundimonas_vitisensis	GSM1385782	1.2182357645235222
Brevundimonas_vitisensis	GSM1385783	1.2199519642916723
Brevundimonas_vitisensis	GSM1415906	1.1509731740785691
Brevundimonas_vitisensis	GSM1415907	1.1555613289724065
Brevundimonas_vitisensis	GSM1415908	1.2139578065711292
Brevundimonas_vitisensis	GSM1415909	1.2059972538674455
Brevundimonas_vitisensis	GSM1415910	1.2089506817640154
Brevundimonas_vitisensis	GSM1415911	1.2062937244500198
Brevundimonas_vitisensis	GSM1415912	1.2168359373268305
Brevundimonas_vitisensis	GSM1415913	1.2165345867763722
Brevundimonas_vitisensis	GSM1415914	1.2158017090661477
Brevundimonas_vitisensis	GSM1415915	1.2154563375016754
Brevundimonas_vitisensis	GSM1415916	1.2146668690838511
Brevundimonas_vitisensis	GSM1415917	1.216135652980742
Brevundimonas_vitisensis	GSM1415918	1.2154242123290768
Brevundimonas_vitisensis	GSM1415919	1.2143834997994574
Brevundimonas_vitisensis	GSM1415920	1.214712006252526
Brevundimonas_vitisensis	GSM1415921	1.2154036067456198
Brevundimonas_vitisensis	GSM3103946	0.5742868731724368
Brevundimonas_vitisensis	GSM3103947	0.6569577782868231
Brevundimonas_vitisensis	GSM3103948	0.4624834000398538
Brevundimonas_vitisensis	GSM3103949	0.7970029012549386
Brevundimonas_vitisensis	GSM3103950	0.5777501227749047
Brevundimonas_vitisensis	GSM3103951	0.6049666120523839
Brevundimonas_vitisensis	GSM3103952	0.5832581398544066
Brevundimonas_vitisensis	GSM3103953	0.5703535026867486
Brevundimonas_vitisensis	GSM3103954	0.5777501227749047
Brevundimonas_vitisensis	GSM3103955	1.6092725345300496
Brevundimonas_vitisensis	GSM3103956	0.6981557356509297
Brevundimonas_vitisensis	GSM3103957	1.196565943439636
Brevundimonas_vitisensis	GSM3103958	0.6274924329724048
Brevundimonas_vitisensis	GSM3103959	0.9679434802183832
Brevundimonas_vitisensis	GSM3103960	1.7237933576951687
Brevundimonas_vitisensis	GSM3103961	0.557873497186249
Brevundimonas_vitisensis	GSM3103962	0.7052903837928342
Brevundimonas_vitisensis	GSM3103963	0.816048786274302
Brevundimonas_vitisensis	GSM3103964	0.6513988896202014
Brevundimonas_vitisensis	GSM3103965	1.0178549012566496
Brevundimonas_vitisensis	GSM4735785	1.2201574484091249
Brevundimonas_vitisensis	GSM4735786	1.2201574484091249
Brevundimonas_vitisensis	GSM4735787	1.2201574484091249
Brevundimonas_vitisensis	GSM4735788	1.2201574484091249
