Feature	sample	counts
Corynebacterium_mycetoides	GSM1022678	1.095828067855805
Corynebacterium_mycetoides	GSM1022679	1.0901413910277764
Corynebacterium_mycetoides	GSM1022680	1.0995776737708125
Corynebacterium_mycetoides	GSM1022681	1.0971464061735006
Corynebacterium_mycetoides	GSM1022682	1.098798113791214
Corynebacterium_mycetoides	GSM1022683	1.101886480116498
Corynebacterium_mycetoides	GSM1022684	1.0919404367124763
Corynebacterium_mycetoides	GSM1022685	1.1014109412156816
Corynebacterium_mycetoides	GSM1022686	1.096987769619947
Corynebacterium_mycetoides	GSM1022687	1.0984767049171695
Corynebacterium_mycetoides	GSM1022688	1.0934985295220814
Corynebacterium_mycetoides	GSM1022689	1.1013171183950674
Corynebacterium_mycetoides	GSM1022690	1.0964209391377062
Corynebacterium_mycetoides	GSM1022691	1.101954859783178
Corynebacterium_mycetoides	GSM1022692	1.100926652585523
Corynebacterium_mycetoides	GSM1022693	1.0890498703956115
Corynebacterium_mycetoides	GSM1022694	1.0934985295220814
Corynebacterium_mycetoides	GSM1022695	1.1019121381500456
Corynebacterium_mycetoides	GSM1385778	1.1004755534865387
Corynebacterium_mycetoides	GSM1385779	1.101954859783178
Corynebacterium_mycetoides	GSM1385780	1.102250309045283
Corynebacterium_mycetoides	GSM1385781	1.1004755534865387
Corynebacterium_mycetoides	GSM1385782	1.1013171183950674
Corynebacterium_mycetoides	GSM1385783	1.1022772863482069
Corynebacterium_mycetoides	GSM1415906	1.067577087258629
Corynebacterium_mycetoides	GSM1415907	1.0689597672662463
Corynebacterium_mycetoides	GSM1415908	1.0985516846674344
Corynebacterium_mycetoides	GSM1415909	1.0943011117192614
Corynebacterium_mycetoides	GSM1415910	1.096032209241066
Corynebacterium_mycetoides	GSM1415911	1.0943011117192614
Corynebacterium_mycetoides	GSM1415912	1.1004612100049602
Corynebacterium_mycetoides	GSM1415913	1.1008313941469083
Corynebacterium_mycetoides	GSM1415914	1.1001192110849127
Corynebacterium_mycetoides	GSM1415915	1.0995776737708125
Corynebacterium_mycetoides	GSM1415916	1.0991128015027034
Corynebacterium_mycetoides	GSM1415917	1.1004141681843411
Corynebacterium_mycetoides	GSM1415918	1.1001192110849127
Corynebacterium_mycetoides	GSM1415919	1.0987712216380914
Corynebacterium_mycetoides	GSM1415920	1.0990521083829228
Corynebacterium_mycetoides	GSM1415921	1.0995026239934311
Corynebacterium_mycetoides	GSM4735785	1.1026682311872162
Corynebacterium_mycetoides	GSM4735786	1.1026682311872162
Corynebacterium_mycetoides	GSM4735787	1.1026682311872162
Corynebacterium_mycetoides	GSM4735788	1.1026682311872162
Corynebacterium_mycetoides	GSM4735789	1.1026682311872162
Corynebacterium_mycetoides	GSM4735790	1.1026682311872162
Corynebacterium_mycetoides	GSM4735791	1.1025148509626173
Corynebacterium_mycetoides	GSM4735792	1.1026682311872162
Corynebacterium_mycetoides	GSM4735793	1.1025148509626173
Corynebacterium_mycetoides	GSM4735794	1.1026682311872162
Corynebacterium_mycetoides	GSM4735795	1.1026682311872162
Corynebacterium_mycetoides	GSM4735796	1.1026682311872162
Corynebacterium_mycetoides	GSM4735797	1.1026682311872162
Corynebacterium_mycetoides	GSM4735798	1.1026682311872162
Corynebacterium_mycetoides	GSM4735799	1.1026682311872162
Corynebacterium_mycetoides	GSM4735800	1.1026682311872162
Corynebacterium_mycetoides	GSM4735801	1.1026682311872162
Corynebacterium_mycetoides	GSM4735802	1.1026682311872162
Corynebacterium_mycetoides	GSM4735803	1.1026682311872162
Corynebacterium_mycetoides	GSM4735804	1.1026682311872162
Corynebacterium_mycetoides	GSM5282507	0.9650765524169688
Corynebacterium_mycetoides	GSM5282508	1.011491023331964
Corynebacterium_mycetoides	GSM5282509	1.011491023331964
Corynebacterium_mycetoides	GSM5282510	2.139916238171424
Corynebacterium_mycetoides	GSM5282511	1.070276021591215
Corynebacterium_mycetoides	GSM5282512	1.011491023331964
Corynebacterium_mycetoides	GSM5282513	3.0928107231671644
Corynebacterium_mycetoides	GSM5282514	0.581406558445161
Corynebacterium_mycetoides	GSM5282515	1.009893452029721
Corynebacterium_mycetoides	GSM5282516	1.0693870564715462
Corynebacterium_mycetoides	GSM5282517	1.067577087258629
Corynebacterium_mycetoides	GSM5282518	1.0038157625476116
Corynebacterium_mycetoides	GSM5282519	1.0667941049924363
Corynebacterium_mycetoides	GSM5282520	1.0682682035588074
Corynebacterium_mycetoides	GSM5282521	1.0537818999865276
Corynebacterium_mycetoides	GSM5282522	1.0514368659165811
Corynebacterium_mycetoides	GSM5282523	0.8788725548712628
Corynebacterium_mycetoides	GSM5282524	1.0076460851390432
Corynebacterium_mycetoides	GSM5282525	2.0076315250952232
Corynebacterium_mycetoides	GSM5282526	0.6315708703040507
Corynebacterium_mycetoides	GSM5282527	1.0038157625476116
Corynebacterium_mycetoides	GSM5282528	1.011491023331964
Corynebacterium_mycetoides	GSM5282529	0.6281066552384762
Corynebacterium_mycetoides	GSM5282530	1.0500881093864944
Corynebacterium_mycetoides	GSM5282531	1.0514368659165811
Corynebacterium_mycetoides	GSM5282532	1.011491023331964
Corynebacterium_mycetoides	GSM5282533	1.0038157625476116
Corynebacterium_mycetoides	GSM5282534	1.023114090281144
Corynebacterium_mycetoides	GSM5282535	1.023114090281144
Corynebacterium_mycetoides	GSM5282536	1.0237764226158992
