Gene	sample	counts
RFKP1	GSM1022678	1.0107351456338556
RFKP1	GSM1022679	1.0847894030308278
RFKP1	GSM1022680	1.0228168238050332
RFKP1	GSM1022681	1.0238669861786047
RFKP1	GSM1022682	1.0100156499625657
RFKP1	GSM1022683	1.0146118150553114
RFKP1	GSM1022684	1.0467182798015733
RFKP1	GSM1022685	1.027880340996568
RFKP1	GSM1022686	1.0487648077875216
RFKP1	GSM1022687	1.0947477718953087
RFKP1	GSM1022688	1.0495019380689916
RFKP1	GSM1022689	1.0210351304622294
RFKP1	GSM1022690	1.090378271733954
RFKP1	GSM1022691	1.0735439206438182
RFKP1	GSM1022692	1.0161485132291883
RFKP1	GSM1022693	1.008488226377649
RFKP1	GSM1022694	1.0424844615251376
RFKP1	GSM1022695	1.0216766714505208
RFKP1	GSM1385778	1
RFKP1	GSM1385779	1.078610408176517
RFKP1	GSM1385780	1.0649136662703569
RFKP1	GSM1385781	1.0078549668039407
RFKP1	GSM1385782	1.0045505879962513
RFKP1	GSM1385783	1.062305800204984
RFKP1	GSM1415906	1
RFKP1	GSM1415907	1.0060720477616854
RFKP1	GSM1415908	1.013077440794964
RFKP1	GSM1415909	1.0060720477616854
RFKP1	GSM1415910	1.0069631126805123
RFKP1	GSM1415911	1.0030314290996496
RFKP1	GSM1415912	1.150105681887296
RFKP1	GSM1415913	1.163403279252366
RFKP1	GSM1415914	1.1043156152702678
RFKP1	GSM1415915	1.079995560610013
RFKP1	GSM1415916	1.0850968187995071
RFKP1	GSM1415917	1.107408486899727
RFKP1	GSM1415918	1.1164525767485525
RFKP1	GSM1415919	1.1135130002794067
RFKP1	GSM1415920	1.0918758521094598
RFKP1	GSM1415921	1.0614142933872277
RFKP1	GSM2769390	1.075066242001491
RFKP1	GSM2769391	1.0563344237307208
RFKP1	GSM2769392	1.043823220986215
RFKP1	GSM2769393	1.0324123095438906
RFKP1	GSM2769394	1.017949289364482
RFKP1	GSM2769395	1.0565016669106198
RFKP1	GSM2769396	1.016643714613284
RFKP1	GSM2769397	1.043676142250892
RFKP1	GSM2769398	1.0475331876976477
RFKP1	GSM3103946	1.0100156499625657
RFKP1	GSM3103947	0.914133134789176
RFKP1	GSM3103948	0.7164755720990154
RFKP1	GSM3103949	0.8474829054317209
RFKP1	GSM3103950	0.6653744796355122
RFKP1	GSM3103951	1
RFKP1	GSM3103952	3.012773252068185
RFKP1	GSM3103953	1.0100156499625657
RFKP1	GSM3103954	1.0030314290996496
RFKP1	GSM3103955	0.5298395788012887
RFKP1	GSM3103956	1.027880340996568
RFKP1	GSM3103957	1.0161485132291883
RFKP1	GSM3103958	1.0247107815171268
RFKP1	GSM3103959	1.0030314290996496
RFKP1	GSM3103960	1
RFKP1	GSM3103961	1.792701184695151
RFKP1	GSM3103962	1.0075958118807733
RFKP1	GSM3103963	1.0272349045407547
RFKP1	GSM3103964	1.010650267145594
RFKP1	GSM3103965	1
RFKP1	GSM4260265	1.018588891444416
RFKP1	GSM4260266	1.010650267145594
RFKP1	GSM4260267	1.0521421345944184
RFKP1	GSM4260268	1.0473759581317816
RFKP1	GSM4260269	1.0157440832984626
RFKP1	GSM4260270	1.0121809652873912
RFKP1	GSM4260271	1.0903486973623564
RFKP1	GSM4260272	1.0692201985423029
RFKP1	GSM4260273	1.0069631126805123
RFKP1	GSM4260274	2.2375986913803727
RFKP1	GSM4260275	1.0621650136918133
RFKP1	GSM4260276	1.0109102076785366
RFKP1	GSM4735785	1.0886918822146296
RFKP1	GSM4735786	1.046731363875979
RFKP1	GSM4735787	1.0396011127879927
RFKP1	GSM4735788	1.0536994428336943
RFKP1	GSM4735789	1.0418298547102676
RFKP1	GSM4735790	1.0503449137025986
RFKP1	GSM4735791	1.0554829508581407
RFKP1	GSM4735792	1.0688603878732963
RFKP1	GSM4735793	1.0738200375043596
RFKP1	GSM4735794	1.0501613654387998
RFKP1	GSM4735795	1.0377901820927629
RFKP1	GSM4735796	1.0884788898870077
