Gene	sample	counts
RP11-394I13.3	GSM1022678	1.010650267145594
RP11-394I13.3	GSM1022679	2.1616592862363277
RP11-394I13.3	GSM1022680	1.0228445664573578
RP11-394I13.3	GSM1022681	2.046974488715816
RP11-394I13.3	GSM1022682	6.054731303061686
RP11-394I13.3	GSM1022683	2.0304986402393497
RP11-394I13.3	GSM1022684	3.1258225363397196
RP11-394I13.3	GSM1022685	4.107304248781973
RP11-394I13.3	GSM1022686	1.048277755164012
RP11-394I13.3	GSM1022687	1.080412911353207
RP11-394I13.3	GSM1022688	1.0432607562473546
RP11-394I13.3	GSM1022689	1.0212700412974676
RP11-394I13.3	GSM1022690	1.079843385051915
RP11-394I13.3	GSM1022691	2.135817288492166
RP11-394I13.3	GSM1022692	1.0172824963691265
RP11-394I13.3	GSM1022693	1.0091218838436145
RP11-394I13.3	GSM1022694	1.0423146986582486
RP11-394I13.3	GSM1022695	1.022581557181457
RP11-394I13.3	GSM1385778	1.001514567592329
RP11-394I13.3	GSM1385779	1.052358251410889
RP11-394I13.3	GSM1385780	1.0469231004598798
RP11-394I13.3	GSM1385781	1.0080868452623672
RP11-394I13.3	GSM1385782	1.0050401373437077
RP11-394I13.3	GSM1385783	1.0443602353553707
RP11-394I13.3	GSM1415906	1.001514567592329
RP11-394I13.3	GSM1415907	1.0069631126805123
RP11-394I13.3	GSM1415908	1.013974710299226
RP11-394I13.3	GSM1415909	1.0069631126805123
RP11-394I13.3	GSM1415910	2.0151916237615466
RP11-394I13.3	GSM1415911	1.0045505879962513
RP11-394I13.3	GSM1415912	1.1235925034328906
RP11-394I13.3	GSM1415913	1.1334188904283546
RP11-394I13.3	GSM1415914	1.086773852521356
RP11-394I13.3	GSM1415915	2.1437079191389223
RP11-394I13.3	GSM1415916	1.0717564809270177
RP11-394I13.3	GSM1415917	1.087295576280627
RP11-394I13.3	GSM1415918	1.0934321088575003
RP11-394I13.3	GSM1415919	1.0935295718899114
RP11-394I13.3	GSM1415920	1.0760262278806771
RP11-394I13.3	GSM1415921	1.0522929992388903
RP11-394I13.3	GSM2769390	1.0476453445591134
RP11-394I13.3	GSM2769391	1.0368437150858465
