Gene	sample	counts
NTRK3-AS1	GSM1022678	1.0107351456338556
NTRK3-AS1	GSM1022679	1.0847894030308278
NTRK3-AS1	GSM1022680	1.0228168238050332
NTRK3-AS1	GSM1022681	1.0238669861786047
NTRK3-AS1	GSM1022682	7.0701095497379605
NTRK3-AS1	GSM1022683	1.0146118150553114
NTRK3-AS1	GSM1022684	1.0467182798015733
NTRK3-AS1	GSM1022685	1.027880340996568
NTRK3-AS1	GSM1022686	1.0487648077875216
NTRK3-AS1	GSM1022687	1.0947477718953087
NTRK3-AS1	GSM1022688	1.0495019380689916
NTRK3-AS1	GSM1022689	1.0210351304622294
NTRK3-AS1	GSM1022690	1.090378271733954
NTRK3-AS1	GSM1022691	1.0735439206438182
NTRK3-AS1	GSM1022692	1.0161485132291883
NTRK3-AS1	GSM1022693	1.008488226377649
NTRK3-AS1	GSM1022694	1.0424844615251376
NTRK3-AS1	GSM1022695	1.0216766714505208
NTRK3-AS1	GSM1385778	1
NTRK3-AS1	GSM1385779	1.078610408176517
NTRK3-AS1	GSM1385780	1.0649136662703569
NTRK3-AS1	GSM1385781	1.0078549668039407
NTRK3-AS1	GSM1385782	1.0045505879962513
NTRK3-AS1	GSM1385783	1.062305800204984
NTRK3-AS1	GSM1415906	1
NTRK3-AS1	GSM1415907	1.0060720477616854
NTRK3-AS1	GSM1415908	1.013077440794964
NTRK3-AS1	GSM1415909	1.0060720477616854
NTRK3-AS1	GSM1415910	1.0069631126805123
NTRK3-AS1	GSM1415911	1.0030314290996496
NTRK3-AS1	GSM1415912	1.150105681887296
NTRK3-AS1	GSM1415913	1.163403279252366
NTRK3-AS1	GSM1415914	1.1043156152702678
NTRK3-AS1	GSM1415915	1.079995560610013
NTRK3-AS1	GSM1415916	1.0850968187995071
NTRK3-AS1	GSM1415917	1.107408486899727
NTRK3-AS1	GSM1415918	1.1164525767485525
NTRK3-AS1	GSM1415919	1.1135130002794067
NTRK3-AS1	GSM1415920	1.0918758521094598
NTRK3-AS1	GSM1415921	1.0614142933872277
NTRK3-AS1	GSM2769390	1.075066242001491
NTRK3-AS1	GSM2769391	1.0563344237307208
NTRK3-AS1	GSM2769392	1.043823220986215
NTRK3-AS1	GSM2769393	1.0324123095438906
NTRK3-AS1	GSM2769394	1.017949289364482
NTRK3-AS1	GSM2769395	1.0565016669106198
NTRK3-AS1	GSM2769396	1.016643714613284
NTRK3-AS1	GSM2769397	1.043676142250892
NTRK3-AS1	GSM2769398	1.0475331876976477
NTRK3-AS1	GSM3103946	1.0100156499625657
NTRK3-AS1	GSM3103947	0.914133134789176
NTRK3-AS1	GSM3103948	0.7164755720990154
NTRK3-AS1	GSM3103949	0.8474829054317209
NTRK3-AS1	GSM3103950	0.6653744796355122
NTRK3-AS1	GSM3103951	1
NTRK3-AS1	GSM3103952	1.004257750689395
NTRK3-AS1	GSM3103953	1.0100156499625657
NTRK3-AS1	GSM3103954	1.0030314290996496
NTRK3-AS1	GSM3103955	1.5895187364038663
NTRK3-AS1	GSM3103956	1.027880340996568
NTRK3-AS1	GSM3103957	1.0161485132291883
NTRK3-AS1	GSM3103958	1.0247107815171268
NTRK3-AS1	GSM3103959	1.0030314290996496
NTRK3-AS1	GSM3103960	2
NTRK3-AS1	GSM3103961	1.792701184695151
NTRK3-AS1	GSM3103962	1.0075958118807733
NTRK3-AS1	GSM3103963	1.0272349045407547
NTRK3-AS1	GSM3103964	1.010650267145594
NTRK3-AS1	GSM3103965	1
NTRK3-AS1	GSM4260265	1.018588891444416
NTRK3-AS1	GSM4260266	1.010650267145594
NTRK3-AS1	GSM4260267	1.0521421345944184
NTRK3-AS1	GSM4260268	1.0473759581317816
NTRK3-AS1	GSM4260269	1.0157440832984626
NTRK3-AS1	GSM4260270	1.0121809652873912
NTRK3-AS1	GSM4260271	1.0903486973623564
NTRK3-AS1	GSM4260272	1.0692201985423029
NTRK3-AS1	GSM4260273	1.0069631126805123
NTRK3-AS1	GSM4260274	9.696260995981614
NTRK3-AS1	GSM4260275	1.0621650136918133
NTRK3-AS1	GSM4260276	1.0109102076785366
NTRK3-AS1	GSM4735785	1.0886918822146296
NTRK3-AS1	GSM4735786	1.046731363875979
NTRK3-AS1	GSM4735787	1.0396011127879927
NTRK3-AS1	GSM4735788	1.0536994428336943
NTRK3-AS1	GSM4735789	1.0418298547102676
NTRK3-AS1	GSM4735790	1.0503449137025986
NTRK3-AS1	GSM4735791	1.0554829508581407
NTRK3-AS1	GSM4735792	1.0688603878732963
NTRK3-AS1	GSM4735793	1.0738200375043596
NTRK3-AS1	GSM4735794	1.0501613654387998
NTRK3-AS1	GSM4735795	1.0377901820927629
NTRK3-AS1	GSM4735796	1.0884788898870077
NTRK3-AS1	GSM4735797	1.0740004943863672
NTRK3-AS1	GSM4735798	1.1111201032542215
NTRK3-AS1	GSM4735799	1.0788214694507128
NTRK3-AS1	GSM4735800	1.1094091366076655
NTRK3-AS1	GSM4735801	1.060380527461417
NTRK3-AS1	GSM4735802	1.0332065818978375
NTRK3-AS1	GSM4735803	1.033060999088088
NTRK3-AS1	GSM4735804	1.0622613925839497
NTRK3-AS1	GSM5282507	1
NTRK3-AS1	GSM5282508	1.029701907789125
NTRK3-AS1	GSM5282509	1.0030314290996496
NTRK3-AS1	GSM5282510	1.0775306673725653
NTRK3-AS1	GSM5282511	1.0488429247731252
NTRK3-AS1	GSM5282512	1.0334723239435966
NTRK3-AS1	GSM5282513	1.019417928500266
NTRK3-AS1	GSM5282514	1
NTRK3-AS1	GSM5282515	1.027880340996568
NTRK3-AS1	GSM5282516	1.052874215300532
NTRK3-AS1	GSM5282517	1.0433722361040354
NTRK3-AS1	GSM5282518	1
